Name Surname HW1 HW2 HW3 HW4 HW5 HW6 HW7 Exam
Name1 Surname1 7.53624 9.23805 6.34892 5.63822 9.77634 6.95405 5.75787 8.09644
Name2 Surname2 1.66691 3.96865 6.25369 1.27875 9.35734 1.17777 8.01435 4.0244
Name3 Surname1 4.08273 4.73338 9.16582 6.86332 6.13567 1.07045 3.58257 7.5661
Name4 Surname2 7.3216 5.0766 3.01337 8.8486 7.45705 8.96911 4.02722 7.04285
Name5 Surname1 6.44971 1.5999 7.91417 8.4418 2.30369 1.02146 5.44486 1.87305
Name6 Surname2 7.2312 6.62555 7.79478 5.15618 7.99719 7.76429 9.78642 2.60164
Name7 Surname1 5.04597 8.51879 6.18557 4.5981 8.12615 5.42809 5.8821 7.65366
Name8 Surname2 2.12624 2.16057 7.89153 4.98157 2.87439 8.98997 4.05477 8.54313
Name9 Surname1 9.31845 8.18225 3.85158 5.49642 2.21641 5.08846 5.92006 8.93491
Name10 Surname2 7.53394 4.1179 9.58995 6.37958 2.6211 4.1488 7.84866 5.62534
Name11 Surname1 8.67383 4.23733 7.87952 2.83471 5.14101 2.97926 4.55895 2.26351
Name12 Surname2 7.61327 6.26808 8.56967 7.90564 9.90666 9.22586 9.30832 8.87818
Name13 Surname1 8.11427 9.00802 4.18541 4.3049 1.66062 8.36898 7.10249 7.07283
Name14 Surname2 7.10965 3.75555 5.83694 3.70067 8.15007 8.48254 5.90954 1.77084
Name15 Surname1 2.87622 2.40972 3.70049 3.65578 3.27047 4.06737 4.26854 6.15215
Name16 Surname2 8.57396 7.94837 3.0204 4.06398 9.83625 3.79647 4.18168 3.01941
Name17 Surname1 7.32146 8.80237 5.06964 5.19907 6.14766 4.31626 1.03518 1.91676
Name18 Surname2 2.99087 8.77091 9.81276 5.94704 4.10753 9.75018 7.1079 2.71283
Name19 Surname1 3.20646 4.5635 7.51689 7.61534 6.91247 7.86357 4.05687 9.97557
Name20 Surname2 8.93075 5.88611 1.39099 6.8642 3.85898 7.89778 2.33608 2.28847
Name21 Surname1 9.90444 4.24931 5.37068 9.63422 1.32074 2.11788 5.4589 3.98678
